Customer_ID,Age,Annual_Income,Spending_Score,Experience_Years,City,Gender,Education,Marital_Status,Purchased,Preferred_Device
C001,22,25000,82,1,Bengaluru,Male,Bachelor,Single,Yes,Mobile
C002,35,65000,45,10,Mysuru,Female,Master,Married,No,Laptop
C003,29,42000,71,5,Hubli,Male,Bachelor,Single,Yes,Tablet
C004,41,90000,32,15,Belagavi,Female,PhD,Married,No,Laptop
C005,24,31000,88,2,Bengaluru,Female,Bachelor,Single,Yes,Mobile
C006,38,72000,54,12,Mangaluru,Male,Master,Married,No,Laptop
C007,27,39000,76,4,Hubli,Female,Bachelor,Single,Yes,Tablet
C008,50,120000,20,25,Bengaluru,Male,PhD,Married,No,Desktop
C009,31,56000,60,7,Mysuru,Male,Master,Married,Yes,Laptop
C010,23,28000,91,1,Belagavi,Female,Bachelor,Single,Yes,Mobile
C011,45,98000,38,20,Hubli,Male,Master,Married,No,Desktop
C012,33,61000,58,9,Mangaluru,Female,Bachelor,Married,Yes,Laptop
C013,26,36000,84,3,Bengaluru,Male,Bachelor,Single,Yes,Mobile
C014,39,81000,47,13,Mysuru,Female,Master,Married,No,Laptop
C015,28,47000,69,6,Belagavi,Male,Bachelor,Single,Yes,Tablet
C016,52,140000,18,28,Bengaluru,Female,PhD,Married,No,Desktop
C017,30,52000,64,8,Hubli,Male,Master,Married,Yes,Laptop
C018,21,22000,95,0,Mangaluru,Female,Bachelor,Single,Yes,Mobile
C019,43,87000,40,18,Belagavi,Male,PhD,Married,No,Desktop
C020,36,68000,52,11,Bengaluru,Female,Master,Married,Yes,Laptop
